0 [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
b [1, 0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
e [1, 4, 2, 3, 0, 5, 6, 7, 8, 9, 10, 11]
f [1, 4, 2, 3, 5, 0, 6, 7, 8, 9, 10, 11]
i [1, 4, 2, 3, 5, 8, 6, 7, 0, 9, 10, 11]
j [1, 4, 2, 3, 5, 8, 6, 7, 9, 0, 10, 11]
k [1, 4, 2, 3, 5, 8, 6, 7, 9, 10, 0, 11]
f [1, 4, 2, 3, 5, 0, 6, 7, 9, 10, 8, 11]
g [1, 4, 2, 3, 5, 6, 0, 7, 9, 10, 8, 11]
b [1, 0, 2, 3, 5, 6, 4, 7, 9, 10, 8, 11]
c [1, 2, 0, 3, 5, 6, 4, 7, 9, 10, 8, 11]
d [1, 2, 3, 0, 5, 6, 4, 7, 9, 10, 8, 11]
g [1, 2, 3, 4, 5, 6, 0, 7, 9, 10, 8, 11]
h [1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 8, 11]
k [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11]
l [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
